alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
5, 13, [13], [5], [33.117374], 1
12, 10, [10], [12], [33.08589], 1
11, 10, [10], [11], [33.089928], 1
9, 3, [3], [9], [33.0321], 1
0, 14, [14], [0], [33.066093], 1
12, 4, [4], [12], [33.059807], 1
12, 13, [13], [12], [33.10022], 1
8, 5, [5 6], [8 8], [32.911633 33.1326  ], 2
11, 9, [9], [11], [33.0569], 1

5, 6, [6], [5], [33.124622], 1
8, 13, [13], [8], [33.108723], 1
0, 11, [11], [0], [33.089905], 1
4, 10, [10 16], [8 4], [-9.990334 33.179928], 2
2, 16, [16], [2], [33.145077], 1
4, 11, [11], [4], [33.08934], 1
0, 16, [16], [0], [33.157192], 1
1, 11, [11], [1], [33.10096], 1
0, 4, [ 4 16], [6 0], [-10.049826  33.15798 ], 2
7, 14, [14  7], [5 7], [-10.093246  33.07637 ], 2
6, 6, [6], [6], [33.128086], 1
8, 1, [1 8], [8 8], [32.891006 33.087425], 2
1, 8, [8], [1], [33.116455], 1
6, 11, [11], [6], [33.076252], 1
5, 7, [7 9], [5 5], [32.917427 33.047134], 2
1, 9, [9], [1], [33.04599], 1
1, 16, [16], [1], [33.173866], 1
10, 10, [10], [10], [33.08148], 1
3, 5, [ 5 15], [5 3], [-10.13084  33.06378], 2
6, 5, [ 5 16], [0 6], [-10.084515  33.138954], 2
11, 10, [10], [11], [33.08992], 1
12, 1, [1], [12], [33.03998], 1
9, 9, [9], [9], [33.0621], 1
3, 15, [15], [3], [33.065033], 1
1, 2, [2], [1], [33.061073], 1
3, 15, [15], [3], [33.062927], 1
6, 14, [14], [6], [33.075035], 1
2, 1, [ 1 13], [6 2], [-10.0992985  33.112526 ], 2
7, 10, [10 13 10 16], [6 7 2 7], [-20.149721  16.275269  11.961433  33.126717], 4
1, 4, [4], [1], [33.055218], 1
12, 5, [5], [12], [33.03276], 1
8, 2, [2], [8], [33.059048], 1

6, 7, [7], [6], [33.072556], 1
3, 9, [9 4], [6 3], [-10.115753  33.061386], 2
