alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
7, 10, [10  5 14 15  9  2 14], [6 6 7 2 7 5 7], [-36.143627 -10.368061 -10.683797 -26.424171 -24.167152 -35.36578
 -25.829292], 7
12, 1, [1 7], [12 12], [32.934498 33.15925 ], 2
13, 14, [14], [13], [33.16631], 1
13, 1, [1], [13], [33.037823], 1
0, 9, [ 9 16], [5 0], [-10.071833  33.126163], 2
6, 2, [ 2 14  6 15 13], [6 6 2 5 6], [17.523405   7.2967267 -3.0762854  7.961156  33.151676 ], 5
12, 10, [10], [12], [33.085297], 1
13, 11, [11], [13], [33.106358], 1
11, 7, [7], [11], [33.130608], 1
13, 1, [1], [13], [33.037823], 1
5, 16, [16  7], [9 5], [-9.9878025 33.14526  ], 2
7, 8, [8], [7], [33.194004], 1
14, 2, [2], [14], [33.275642], 1
2, 16, [16], [2], [33.112915], 1
5, 12, [12  8], [5 5], [32.93348 33.14971], 2
9, 8, [8], [9], [33.208466], 1
2, 13, [13], [2], [33.1509], 1
4, 6, [ 6 11  2], [4 4 4], [30.54424  29.018656 33.14626 ], 3
